================================================================================
 case5                                                                                               
 Short sim name = case5           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          IPROD   
 36000.0  0.212240E-04  0.106480E+01  0.782666E+02  0.220355E+06  0.944146E+07  0.975335E+02  0.778016E+00  0.264612E+01  0.554827E+00  0.530702E-17  0.493678E+01
 37800.0  0.199062E-04  0.989204E+00  0.781253E+02  0.258648E+06  0.101544E+08  0.974919E+02  0.777167E+00  0.265407E+01  0.551802E+00  0.339819E-21  0.493482E+01
 39600.0  0.188845E-04  0.932389E+00  0.779992E+02  0.291844E+06  0.107411E+08  0.974602E+02  0.776323E+00  0.266300E+01  0.548764E+00  0.120067E-25  0.493339E+01
 41400.0  0.181083E-04  0.889908E+00  0.778868E+02  0.319464E+06  0.112079E+08  0.974389E+02  0.775499E+00  0.267275E+01  0.545759E+00  0.215979E-30  0.493253E+01
 43200.0  0.175304E-04  0.858377E+00  0.777870E+02  0.341656E+06  0.115666E+08  0.974283E+02  0.774709E+00  0.268321E+01  0.542820E+00  0.277121E-35  0.493224E+01
 45000.0  0.171099E-04  0.835167E+00  0.776988E+02  0.359031E+06  0.118329E+08  0.974287E+02  0.773966E+00  0.269428E+01  0.539965E+00  0.236361E-40  0.493253E+01
 46800.0  0.168141E-04  0.818310E+00  0.776215E+02  0.372366E+06  0.120227E+08  0.974401E+02  0.773280E+00  0.270588E+01  0.537202E+00  0.163413E-45  0.493339E+01
 48600.0  0.166168E-04  0.806302E+00  0.775540E+02  0.382465E+06  0.121513E+08  0.974622E+02  0.772654E+00  0.271796E+01  0.534534E+00  0.133568E-50  0.493482E+01
 50400.0  0.164980E-04  0.798013E+00  0.774957E+02  0.390071E+06  0.122321E+08  0.974946E+02  0.772093E+00  0.273047E+01  0.531961E+00  0.200488E-55  0.493678E+01
 52200.0  0.164410E-04  0.792559E+00  0.774456E+02  0.395813E+06  0.122765E+08  0.975368E+02  0.771594E+00  0.274338E+01  0.529477E+00  0.547322E-60  0.493924E+01
 54000.0  0.164333E-04  0.789273E+00  0.774026E+02  0.400194E+06  0.122934E+08  0.975880E+02  0.771155E+00  0.275664E+01  0.527078E+00  0.241536E-64  0.494216E+01
 55800.0  0.164644E-04  0.787638E+00  0.773658E+02  0.403592E+06  0.122902E+08  0.976471E+02  0.770771E+00  0.277022E+01  0.524756E+00  0.211791E-68  0.494549E+01
 57600.0  0.165259E-04  0.787247E+00  0.773341E+02  0.406287E+06  0.122724E+08  0.977131E+02  0.770433E+00  0.278410E+01  0.522505E+00  0.495662E-72  0.494918E+01
 59400.0  0.166104E-04  0.787759E+00  0.773064E+02  0.408485E+06  0.122444E+08  0.977848E+02  0.770134E+00  0.279822E+01  0.520316E+00  0.290685E-75  0.495315E+01
 61200.0  0.167109E-04  0.788881E+00  0.772814E+02  0.410301E+06  0.122085E+08  0.978608E+02  0.769864E+00  0.281257E+01  0.518181E+00  0.442736E-79  0.495735E+01
 63000.0  0.168220E-04  0.790398E+00  0.772580E+02  0.411861E+06  0.121687E+08  0.979398E+02  0.769612E+00  0.282708E+01  0.516091E+00  0.364210E-83  0.496170E+01
 64800.0  0.169384E-04  0.792110E+00  0.772349E+02  0.413208E+06  0.121265E+08  0.980201E+02  0.769367E+00  0.284173E+01  0.514041E+00  0.188432E-87  0.496612E+01
 66600.0  0.212305E-01  0.207334E+01  0.780051E+02  0.942863E+05  0.120823E+08  0.981051E+02  0.769613E+00  0.284974E+01  0.513312E+00  0.213631E-89  0.497054E+01
 68400.0  0.644606E-01  0.204460E+01  0.781065E+02  0.402146E+06  0.266597E+08  0.981864E+02  0.769415E+00  0.286084E+01  0.512747E+00  0.182931E-89  0.497489E+01
 70200.0  0.120940E+00  0.196503E+01  0.782477E+02  0.118597E+07  0.471821E+08  0.982511E+02  0.767524E+00  0.289135E+01  0.513114E+00  0.147446E-89  0.497909E+01
 72000.0  0.176779E+00  0.184328E+01  0.784674E+02  0.272843E+07  0.769368E+08  0.982790E+02  0.762508E+00  0.296029E+01  0.518604E+00  0.966674E-90  0.498306E+01
 73800.0  0.217320E+00  0.167267E+01  0.788161E+02  0.535890E+07  0.123748E+09  0.982409E+02  0.752845E+00  0.308981E+01  0.535988E+00  0.431773E-90  0.498674E+01
 75600.0  0.231504E+00  0.144956E+01  0.793605E+02  0.929716E+07  0.199489E+09  0.981008E+02  0.738010E+00  0.329597E+01  0.572149E+00  0.105636E-90  0.499008E+01
 77400.0  0.216272E+00  0.118582E+01  0.801558E+02  0.142719E+08  0.318155E+09  0.978291E+02  0.721271E+00  0.357246E+01  0.627821E+00  0.115458E-91  0.499300E+01
 79200.0  0.180545E+00  0.916396E+00  0.811697E+02  0.190303E+08  0.479223E+09  0.974267E+02  0.713723E+00  0.387810E+01  0.690877E+00  0.521641E-93  0.499546E+01
 81000.0  0.140395E+00  0.683507E+00  0.822327E+02  0.221002E+08  0.652132E+09  0.969356E+02  0.732745E+00  0.415522E+01  0.741036E+00  0.123816E-94  0.499742E+01
 82800.0  0.106519E+00  0.507199E+00  0.831358E+02  0.232867E+08  0.800907E+09  0.964094E+02  0.789773E+00  0.437085E+01  0.766793E+00  0.208319E-96  0.499885E+01
 84600.0  0.812933E-01  0.383316E+00  0.837614E+02  0.232439E+08  0.909328E+09  0.958810E+02  0.883203E+00  0.452469E+01  0.770458E+00  0.325078E-98  0.499971E+01
 86400.0  0.633478E-01  0.298937E+00  0.840958E+02  0.225186E+08  0.976517E+09  0.953646E+02  0.100224E+01  0.463032E+01  0.760424E+00  0.551693-100  0.500000E+01
